mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
528.53,6.46,3.0,3.0,86.88,6.0,2.0,4.92,5.96,5.95,528.53,5.0,39.0,0.24,528.1773,6.0,3.0,2.0,-1.49,95.0,6.35669
304.35,3.97,3.0,3.0,80.04,3.0,0.0,6.34,3.31,3.28,304.35,3.0,23.0,0.68,304.1324,5.0,4.0,0.0,-0.78,91.0,6.03635
260.13,2.5,3.0,1.0,44.48,6.0,0.0,4.4,2.63,2.63,296.59,1.0,14.0,0.63,259.0208,3.0,2.0,0.0,-0.49,99.0,6.72355
449.02,3.8,7.0,0.0,84.41,6.0,0.0,8.31,4.47,4.47,449.02,2.0,27.0,0.67,448.0352,6.0,0.0,0.0,-1.73,87.0,5.8883
478.52,5.61,3.0,2.0,75.01,5.0,1.0,9.04,5.02,3.37,592.54,4.0,35.0,0.39,478.198,5.0,3.0,1.0,-1.41,100.0,6.16779
457.52,3.69,6.0,2.0,66.85,9.0,0.0,9.52,2.86,0.7,547.56,3.0,33.0,0.48,457.2177,6.0,2.0,0.0,-0.87,100.0,6.80902
390.58,5.0,4.0,1.0,31.4,9.0,0.0,9.33,4.75,1.95,427.04,3.0,29.0,0.41,390.2783,4.0,1.0,0.0,-0.79,100.0,6.77702
255.32,2.64,5.0,2.0,82.75,1.0,0.0,5.98,2.34,2.32,255.32,3.0,19.0,0.7,255.1484,5.0,4.0,0.0,-1.14,93.0,8.06976
297.35,3.71,4.0,0.0,48.42,3.0,0.0,4.99,2.87,2.87,297.35,2.0,22.0,0.87,297.1365,4.0,0.0,0.0,0.16,99.0,6.73824
549.12,5.63,5.0,2.0,73.91,11.0,2.0,7.96,5.79,5.13,585.58,3.0,39.0,0.3,548.2554,7.0,2.0,2.0,-1.57,100.0,6.19596
435.59,4.72,5.0,2.0,55.81,6.0,0.0,8.42,4.66,3.79,549.62,3.0,31.0,0.59,435.198,5.0,2.0,0.0,-1.52,90.0,5.99879
466.59,5.31,5.0,2.0,73.39,4.0,1.0,8.22,4.69,3.65,503.05,4.0,35.0,0.43,466.2481,7.0,2.0,1.0,-1.5,100.0,6.67376
577.19,4.33,6.0,4.0,110.77,11.0,1.0,10.12,3.51,0.91,613.65,2.0,39.0,0.32,576.2537,8.0,4.0,1.0,-1.12,99.0,6.09553
491.68,6.89,2.0,2.0,48.13,6.0,1.0,10.28,6.35,3.56,491.68,4.0,37.0,0.29,491.2937,4.0,2.0,1.0,-0.56,100.0,6.13875
611.64,7.53,6.0,2.0,70.39,11.0,2.0,9.54,6.55,4.43,611.64,4.0,41.0,0.14,610.1936,6.0,2.0,2.0,-1.36,82.0,5.9384
464.47,7.02,3.0,3.0,69.81,4.0,1.0,4.5,6.28,6.28,464.47,5.0,33.0,0.25,464.0919,5.0,3.0,1.0,-1.84,100.0,6.48168
480.66,5.53,3.0,2.0,71.92,6.0,1.0,9.67,5.88,3.63,517.12,3.0,36.0,0.46,480.2889,5.0,2.0,1.0,-0.72,95.0,6.09625
460.58,4.35,6.0,1.0,66.93,7.0,0.0,7.99,4.83,4.14,460.58,3.0,34.0,0.53,460.2474,7.0,1.0,0.0,-1.42,99.0,6.15665
407.47,4.23,7.0,3.0,97.4,8.0,0.0,6.23,3.5,3.47,407.47,3.0,30.0,0.51,407.1957,8.0,3.0,0.0,-1.38,100.0,5.97012
373.5,5.31,2.0,2.0,57.78,4.0,1.0,5.79,5.69,5.68,373.5,3.0,28.0,0.61,373.2154,4.0,2.0,1.0,-0.77,93.0,5.99599
607.26,5.21,6.0,4.0,110.77,15.0,2.0,10.01,4.63,2.11,643.72,2.0,41.0,0.22,606.3007,8.0,4.0,2.0,-0.93,98.0,6.54514
456.93,5.85,5.0,2.0,68.18,5.0,1.0,2.43,5.5,5.5,456.93,4.0,33.0,0.39,456.1353,6.0,2.0,1.0,-1.39,88.0,5.97647
